id,ts,market_id,market_title,mode,side,contracts,entry_price_cents,trade_amount_dollars,confidence_score,model_prob,implied_prob,btc_price_at_entry,strike,seconds_left_at_entry,fill_confirmed,exit_price_cents,exit_reason,outcome,pnl_dollars,profit_percent,order_id,asset,raw_p_yes,entry_signals,calibrated_p_yes,signal_name,strategy_variant,strategy_version,brain
2518,2026-06-05T19:40:27Z,KXXRP15M-26JUN051545-45,KXXRP15M-26JUN051545-45,paper,no,68,35,23.8,50,0.5,0.35,1.0854,1.0857,272,1,0,expiry,loss,-24.89,-100.0,paper_1780688427403,XRP,0.5,"{""win_prob"": 0.5, ""ev"": 0.15000000000000002, ""abs_pct"": 0.00027631942525576953}",,,strategy1,,s1
2517,2026-06-05T19:24:30Z,KXETH15M-26JUN051530-30,KXETH15M-26JUN051530-30,paper,no,59,40,23.6,50,0.5,0.4,1550.985,1551.01,329,1,0,expiry,loss,-24.6,-100.0,paper_1780687470474,ETH,0.5,"{""win_prob"": 0.5, ""ev"": 0.09999999999999998, ""abs_pct"": 1.6118529216504695e-05}",,,strategy1,,s1
2516,2026-06-05T19:23:24.443071+00:00,KXETH15M-26JUN051530-30,ETH price up in next 15 mins?,paper,no,48,50,24.0,62,0.6215711249354857,0.5,1548.335,1551.01,395,1,0,expiry,loss,-24.85,-100.0,paper_1780687404443,ETH,0.3784288750645143,"{""win_prob"": 0.6215711249354857, ""ev"": 0.10407112493548572, ""vel_delta"": 7.333333333333336, ""obi"": null, ""abs_pct"": 0.001724682626159699, ""mins_left"": 6.596625666666667, ""strike"": 1551.01}",,,strategy2,,s2
2515,2026-06-05T19:20:51Z,KXSOL15M-26JUN051530-30,KXSOL15M-26JUN051530-30,paper,no,59,40,23.6,52,0.5263742566393464,0.4,61.825,61.8862,549,1,0,expiry,loss,-24.6,-100.0,paper_1780687251070,SOL,0.47362574336065355,"{""win_prob"": 0.5263742566393464, ""ev"": 0.07362574336065353, ""abs_pct"": 0.0009889119060468969}",,,strategy1,,s1
2514,2026-06-05T19:05:49.965859+00:00,KXETH15M-26JUN051515-15,ETH price up in next 15 mins?,paper,no,46,52,23.92,64,0.6417946455475381,0.52,1549.115,1552.82,550,1,100,expiry,win,21.27,92.31,paper_1780686349965,ETH,0.35820535445246193,"{""win_prob"": 0.6417946455475381, ""ev"": 0.10432264554753805, ""vel_delta"": 0.6666666666666643, ""obi"": null, ""abs_pct"": 0.002385981633415288, ""mins_left"": 9.171319949999999, ""strike"": 1552.82}",,,strategy2,,s2
2513,2026-06-05T19:04:29Z,KXETH15M-26JUN051515-15,KXETH15M-26JUN051515-15,paper,yes,59,40,23.6,56,0.567592215601453,0.4,1555.28,1552.82,630,1,100,expiry,win,34.4,150.0,paper_1780686269640,ETH,0.567592215601453,"{""win_prob"": 0.567592215601453, ""ev"": 0.167592215601453, ""abs_pct"": 0.0015842145258304482}",,,strategy1,,s1
2512,2026-06-05T18:41:49Z,KXSOL15M-26JUN051445-45,KXSOL15M-26JUN051445-45,paper,no,61,39,23.79,50,0.5,0.39,64.005,64.0098,190,1,100,expiry,win,36.19,156.41,paper_1780684909997,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.10999999999999999, ""abs_pct"": 7.498851738332293e-05}",,,strategy1,,s1
2511,2026-06-05T18:33:46Z,KXXRP15M-26JUN051445-45,KXXRP15M-26JUN051445-45,paper,no,61,39,23.79,51,0.5144956701138332,0.39,1.09585,1.0964,673,1,100,expiry,win,36.19,156.41,paper_1780684426688,XRP,0.48550432988616676,"{""win_prob"": 0.5144956701138332, ""ev"": 0.09550432988616675, ""abs_pct"": 0.0005016417365925305}",,,strategy1,,s1
2510,2026-06-05T18:13:18Z,KXSOL15M-26JUN051415-15,KXSOL15M-26JUN051415-15,paper,no,85,28,23.8,50,0.5,0.28,65.025,65.0287,101,1,100,expiry,win,60.0,257.14,paper_1780683198414,SOL,0.5,"{""win_prob"": 0.5, ""ev"": 0.21999999999999997, ""abs_pct"": 5.6897954287797994e-05}",,,strategy1,,s1
2509,2026-06-05T18:05:50Z,KXXRP15M-26JUN051415-15,KXXRP15M-26JUN051415-15,paper,no,55,43,23.65,50,0.5,0.43,1.10805,1.1085,549,1,0,expiry,loss,-24.6,-100.0,paper_1780682750959,XRP,0.5,"{""win_prob"": 0.5, ""ev"": 0.07, ""abs_pct"": 0.0004059539918809756}",,,strategy1,,s1
